title,CODE,20_topics,25_topics,30_topics,35_topics,40_topics,45_topics,50_topics
A Quality Improvement (QI) Review of the Analgesic Effects of Intraoperative Dexmedetomidine in Chil,PEDIATRIC ANESTHESIA,6.0,7.0,18.0,27.0,20.0,23.0,15.0
Changes in the Body Temperature Following MRI Scanning in Infant and NICU Patients: A Quality Assura,PEDIATRIC ANESTHESIA,12.0,4.0,18.0,4.0,2.0,6.0,31.0
The Analgesic Role of Transverses Abdominis Plane Block for Pediatric Patients Undergoing Lower and ,PEDIATRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Does Adding Ultrasound Guidance to Peripheral Nerve Stimulation Improve Regional Anesthesia in Pedia,PEDIATRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
One Lung Anesthesia for Infants; a Case Series,PEDIATRIC ANESTHESIA,13.0,6.0,6.0,5.0,24.0,6.0,31.0
Postoperative Analgesic and Behavioral Effects of Intranasal Fentanyl; Intramuscular Morphine and In,PEDIATRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
In Infants and Babies; the Potassium Level of Capillary Blood is Higher than Venous Blood,PEDIATRIC ANESTHESIA,12.0,4.0,5.0,19.0,24.0,6.0,31.0
Ultrasound Image Guided versus Doppler Assisted Radial Artery Cannulation in Infants and Small Child,PEDIATRIC ANESTHESIA,14.0,8.0,20.0,6.0,10.0,35.0,31.0
Intranasal Clonidine vs. Midazolam as Premedication in Children: A Double-blind Randomized Trial,PEDIATRIC ANESTHESIA,6.0,20.0,19.0,27.0,20.0,23.0,15.0
Oropharynx Fio2 Concentration Using Cuffed vs. Uncuffed Endotracheal Tubes During Adenotonsillectomy,PEDIATRIC ANESTHESIA,9.0,6.0,6.0,5.0,4.0,28.0,31.0
Effectiveness of Intramuscular Dexmedetomidine for Sedation in Young Children Undergoing Diagnostic ,PEDIATRIC ANESTHESIA,6.0,7.0,4.0,27.0,20.0,23.0,15.0
Minimal Invasive Craniectomy for Single Suture Craniosynostosis: Perioperative Course and Anesthesia,PEDIATRIC ANESTHESIA,17.0,23.0,10.0,19.0,2.0,6.0,31.0
Anesthetic Implications of Angelman’s Syndrome,PEDIATRIC ANESTHESIA,17.0,4.0,18.0,19.0,2.0,25.0,31.0
Effectiveness of a Near-infrared Vascular Imaging System to Support Intravenous Cannulation in Child,PEDIATRIC ANESTHESIA,14.0,4.0,20.0,19.0,24.0,6.0,31.0
Preliminary Results of Pediatric Airway Scope for Difficult Intubation in School-aged Pediatric Pati,PEDIATRIC ANESTHESIA,13.0,6.0,12.0,5.0,4.0,28.0,29.0
Trends in Use of Premedication and Parental Presence during Induction of Anesthesia in the United St,PEDIATRIC ANESTHESIA,5.0,4.0,18.0,19.0,24.0,6.0,31.0
Optimum Time for Intravenous Cannulation after Induction with Sevoflurane in Children,PEDIATRIC ANESTHESIA,6.0,7.0,4.0,10.0,20.0,23.0,15.0
Pediatric Anesthesia Pre and Post Earthquake in Haiti,PEDIATRIC ANESTHESIA,17.0,4.0,18.0,19.0,2.0,6.0,31.0
Streamed Video Clips Reduce Anxiety in Children Undergoing Inhalational Induction of Anesthesia,PEDIATRIC ANESTHESIA,3.0,4.0,18.0,0.0,20.0,6.0,31.0
Retrospective Analysis of Dexmedetomidine Infusion in Adolescents Undergoing Spine Surgery,PEDIATRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Genome-wide Epigenetic Investigation of Postoperative Pain in Children,PEDIATRIC ANESTHESIA,3.0,20.0,18.0,19.0,24.0,19.0,10.0
Pharmacokinetics of Intraperitoneal Bupivacaine in Young Children: Manual Aerosolization VS. Nebuliz,PEDIATRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Single Dose Pharmacokinetics and Pharmacodynamics of Bupivacaine following Transversus Abdominis Pla,PEDIATRIC ANESTHESIA,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Use of Skin Conductance Measurements as Predictors of Worsening Acute Post-operative Pain Scores in ,PEDIATRIC ANESTHESIA,3.0,20.0,19.0,27.0,24.0,6.0,31.0
Effect of High Body Mass Index on Early Post-Tonsillectomy Pain in Children,PEDIATRIC ANESTHESIA,17.0,23.0,10.0,27.0,2.0,25.0,12.0
Prospective Multicentre Cohort Study Evaluating the Incidence of Pain After Craniotomy in Children,PEDIATRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Anesthetic Management of Patients with Sickle Cell Disease,PEDIATRIC ANESTHESIA,17.0,23.0,10.0,8.0,2.0,6.0,31.0
Management and Outcomes in Pediatric Patients with Niemann- Pick Disease undergoing Anesthesia and S,PEDIATRIC ANESTHESIA,17.0,4.0,18.0,19.0,2.0,25.0,31.0
Pharmacodynamics of Propofol in Obese and Non-obese Children: Is the ED 95 the Same?,PEDIATRIC ANESTHESIA,6.0,7.0,4.0,10.0,20.0,23.0,15.0
Association of High Body Mass Index with Perioperative Respiratory Adverse Events in Children with B,PEDIATRIC ANESTHESIA,17.0,23.0,10.0,19.0,2.0,25.0,12.0
Effect of Headphones on Sevoflurane Requirement for Magnetic Resonans Imaging using Dixon Method,PEDIATRIC ANESTHESIA,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Differing Pharmacokinetics of Ketorolac Enantiomers in Children,PEDIATRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Repeatability and Accuracy of Carboxyhemoglobin Measurement by Pulse Co-oximetry in Children,PEDIATRIC ANESTHESIA,12.0,4.0,5.0,19.0,24.0,6.0,31.0
Is Nitrous Oxide needed for Maintenance of General Anesthesia in Pediatric Patients?,PEDIATRIC ANESTHESIA,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Ultrasound Guided Axillary Brachial Plexus Block for Pediatric Upper Limb Surgery-A Retrospective An,PEDIATRIC ANESTHESIA,3.0,20.0,19.0,6.0,30.0,19.0,28.0
Comparison of Clonidine and Midazolam as Premedication in Pediatric Patients Undergoing Adenotonsill,PEDIATRIC ANESTHESIA,3.0,20.0,19.0,27.0,20.0,23.0,15.0
Possible Propofol Tolerance in Pediatric Patients Undergoing Radiation Treatment: A Retrospective Re,PEDIATRIC ANESTHESIA,6.0,20.0,19.0,27.0,20.0,23.0,15.0
Effects of Perioperative Stress on Salivary Alpha-Amylase : Children Versus Young Adults,PEDIATRIC ANESTHESIA,3.0,20.0,18.0,27.0,30.0,6.0,37.0
Extubation Practices in Pediatric Tonsillectomy and Adenoidectomy Patients: Comparing Efficiency and,PEDIATRIC ANESTHESIA,17.0,4.0,18.0,19.0,24.0,6.0,31.0
Awake Caudal Eidural Anesthesia for Herniorraphy in Premature Infant,PEDIATRIC ANESTHESIA,3.0,20.0,19.0,27.0,2.0,25.0,12.0
Safety of Pediatric Spinal Anesthesia: An Ultrasonography Based Prospective Study of 104 Patients,PEDIATRIC ANESTHESIA,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Infantile Pompe Disease: a Report on 62 Anesthetics in 20 Patients,PEDIATRIC ANESTHESIA,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Preoperative Anxiety in Adolescents undergoing Surgery: A Pilot Study,PEDIATRIC ANESTHESIA,17.0,4.0,0.0,0.0,24.0,6.0,37.0
Transversus Abdominis Plane Block in Children Undergoing Ostomy and Pyeloplasty Surgery,PEDIATRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Children’s Behaviors in the Recovery Room: Developing the Recovery Room Child-Adult Medical Procedur,PEDIATRIC ANESTHESIA,5.0,4.0,18.0,0.0,24.0,6.0,31.0
Perioperative Respiratory Complications in Children undergoing Adenotonsillectomy following Awake or,PEDIATRIC ANESTHESIA,17.0,4.0,10.0,8.0,2.0,25.0,12.0
Central and Total Adiposity and Risk of Perioperative Respiratory Adverse Events in Children,PEDIATRIC ANESTHESIA,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Surface Landmark of Central Venous Catheter Placement in Pediatric Patients,PEDIATRIC ANESTHESIA,14.0,8.0,20.0,6.0,10.0,6.0,31.0
Increase of the Pulsation Rate From 600/min to 1200/min During Supraglottic Superimposed High Freque,PEDIATRIC ANESTHESIA,9.0,10.0,6.0,19.0,24.0,6.0,31.0
The Difficulties with Pediatric Difficult Airways: Combining and Measuring Airway Outcomes of Oxygen,PEDIATRIC ANESTHESIA,13.0,6.0,12.0,5.0,4.0,28.0,29.0
The Impact of Preoperative Assessment on Operating Room Cancelation in a Large Pediatric Hospital,PEDIATRIC ANESTHESIA,17.0,4.0,18.0,19.0,2.0,6.0,31.0
Early Intervention in a Mouse Model of Early-onset Childhood Obesity Results in Life-long Improvemen,PEDIATRIC ANESTHESIA,17.0,14.0,18.0,19.0,24.0,6.0,31.0
What's Your Target? : Assessing Transfusion Practices of Pediatric Anesthesiologists during High Blo,PEDIATRIC ANESTHESIA,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Evaluation of Two Health Related Quality of Life Assessment Tools in the Adolescent Idiopathic Scoli,PEDIATRIC ANESTHESIA,17.0,4.0,18.0,19.0,1.0,6.0,31.0
Incidence of Hypercapnia and Related Respiratory Adverse Events in Neurologically Impaired Children ,PEDIATRIC ANESTHESIA,6.0,7.0,4.0,10.0,20.0,23.0,15.0
Perioperative fluid management of pediatric renal transplantation,PEDIATRIC ANESTHESIA,17.0,4.0,18.0,19.0,25.0,6.0,31.0
Noninvasive Carbon Monoxide Screening for Environmental Tobacco Smoke Exposure in Children,PEDIATRIC ANESTHESIA,12.0,4.0,5.0,19.0,24.0,6.0,31.0
Nares-Carina Distance in Infants and Young Children,PEDIATRIC ANESTHESIA,13.0,6.0,12.0,5.0,4.0,28.0,29.0
Pharmacokinetic Profiles in Pediatric Patients(Ages 2-16) Receiving Dexmedetomidine (DEX)in the Inte,PEDIATRIC ANESTHESIA,6.0,7.0,4.0,27.0,20.0,23.0,15.0
Comparison of Efficacy and Safety of Poractant Alfa and Lyophilized KL4 Surfactant in a Preterm Lamb,PEDIATRIC ANESTHESIA,0.0,4.0,18.0,19.0,24.0,34.0,31.0
An Assessment Model of Varying Circuit Sizes and Infant Ventilation Strategies,PEDIATRIC ANESTHESIA,9.0,10.0,6.0,23.0,11.0,10.0,6.0
Efficacy of Video Glasses on Preoperative Anxiety Reduction in Children,PEDIATRIC ANESTHESIA,3.0,20.0,19.0,27.0,20.0,6.0,15.0
Effect of Second-Hand Smoking on PONV in Children Undergoing Tonsillectomies: A Pilot Study,PEDIATRIC ANESTHESIA,17.0,4.0,18.0,19.0,24.0,6.0,31.0
Implementation of a Dedicated Pain Service at the Children's Hospital of Pittsburgh of UPMC,PEDIATRIC ANESTHESIA,5.0,21.0,18.0,19.0,24.0,6.0,31.0
Mother and Child Behavior in the Post-Anesthesia Care Unit: A Video Coding Study,PEDIATRIC ANESTHESIA,5.0,4.0,18.0,19.0,24.0,6.0,31.0
Parental Attitudes Regarding Analgesic Use for Children: Differences in Ethnicity and Language,PEDIATRIC ANESTHESIA,3.0,4.0,19.0,27.0,30.0,6.0,37.0
The Impact of Ethnicity on Postoperative Pain and Analgesic Use,PEDIATRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Seeing the Big Picture: Video Laryngoscopy as an Adjunct to Fiberscope Intubation in the Anticipated,PEDIATRIC ANESTHESIA,13.0,6.0,12.0,5.0,4.0,28.0,29.0
A Pilot Study: Preoperative Assessment of Second Hand Smoking Exposure in Children- How Much Can We ,PEDIATRIC ANESTHESIA,17.0,4.0,18.0,19.0,24.0,6.0,31.0
Second Hand Smoking Significantly Decreases Postoperative Vomiting in Female Children Undergoing Gen,PEDIATRIC ANESTHESIA,17.0,4.0,18.0,19.0,24.0,6.0,31.0
Deep Neck Infections: Are Clinical Signs Good Predictors of Worse Outcome in Children?,PEDIATRIC ANESTHESIA,17.0,23.0,10.0,5.0,2.0,25.0,12.0
Epidural Anesthesia and Recurrence Free Longer Survival in Post Esophagectomy Patients,REGIONAL ANESTHESIA AND ACUTE PAIN,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Ropivacaine Attenuates Src Activation; ICAM-1 Phosphorylation; and MCP-1 Production in H838 Lung Can,REGIONAL ANESTHESIA AND ACUTE PAIN,8.0,2.0,1.0,1.0,29.0,17.0,11.0
Peri-operative Fentanyl Administration Induces Spinal Cord Sensitization in Rat,REGIONAL ANESTHESIA AND ACUTE PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Intravenous Patient-Controlled Analgesia Prevents Postoperative Hypokalemia in Patients Undergoing L,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Quantification of Dose-sparing Effect of Epinephrine on Intrathecal Hyperbaric Bupivacaine for Total,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,27.0,4.0
Intraperitoneal Levobupivacaine Before Laparoscopic Sleeve Gastrectomy Does Not Reduce Morphine Cons,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
The Analgesic Efficacy of Oblique Sub-costal Transverses Abdominis Plane Block for laparoscopic Surg,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
The Opioid Sparing Effect of Diclofenac Sodium during Maxillofacial Cancer Surgeries,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
The Relative Interaction of General or Spinal Anesthesia and Femoral Nerve Catheters or Combined Fem,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Multi-Modal Analgesia for the Amputee Patient Protocol,REGIONAL ANESTHESIA AND ACUTE PAIN,5.0,4.0,18.0,19.0,24.0,6.0,31.0
Effect of Intravenous Methylprednisolone on Post-Dural Puncture Headache,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,18.0,6.0,2.0,25.0,31.0
Optimal Balance between Pain Relief and Medication Side Effects in Perioperative Epidural Analgesia:,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Development of a Scale to Assess Noxious Stimuli Intensity during Anesthesia and Surgery using Rasch,REGIONAL ANESTHESIA AND ACUTE PAIN,6.0,7.0,4.0,2.0,20.0,6.0,31.0
Comparison of Postoperative Analgesia Effects Between Ultrasound-Guided Ilioinguinal /Iliohypogastri,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Comparison of Close Tip vs. Open Tip Catheter in at Thoracic level: A Randomized Prospective Study:P,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Comparison of Sitting; Lateral Decubitus and Sitting with Flexed Lower Limbs Positions for Neuroaxia,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Correlation Between Postoperative Pain and the Val158Met Polymorphism of the Human Catechol-O-Methyl,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,6.0,10.0
Ultrasound Dynamic study of Nerve Arrangement Around Axillary Artery: The Median Nerve Waltz,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Paravertebral Block For Percutaneous Nephrolithotomy Post-Operative Pain,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Is Peripheral Nerve Block After Lower Extremity Orthopedic Procedures Associated with Neuropathy?,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,6.0,30.0,19.0,10.0
Which Analgesia for Total Hip Arthroplasty by Mini-Invasive Anterior Approach?,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Prevention of Pain from Propofol Injection - Is it Really a Problem and What Are We Doing About It?,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,24.0,6.0,10.0
Developing an Experimental Model of Neurotoxicity for Regional Anesthesia: The Role of Ultrasound to,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Continuous Femoral Nerve Blocks: Using Ultrasound Guidance to Vary Perineural Catheter Tip Location ,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Complications and Outcomes for Neuraxial Anesthesia for Surgery: A Closed Claims Analysis,REGIONAL ANESTHESIA AND ACUTE PAIN,17.0,4.0,18.0,19.0,2.0,25.0,31.0
Perioperative Nerve Injury after Upper Extremity Joint Surgery: Does the Use of Regional Anesthesia ,REGIONAL ANESTHESIA AND ACUTE PAIN,17.0,23.0,10.0,8.0,2.0,25.0,12.0
The Effect of Dexamethasone on the Duration of Interscalene Nerve Blocks with Ropivacaine or Bupivac,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Effect of Continuous Adductor-Canal-Blockade on Pain and Ambulation after Total Knee Athroplasty,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Effect of Chronic Beta-Blockade on the Utility of an Epinephrine Containing Test Dose to Detect Intr,REGIONAL ANESTHESIA AND ACUTE PAIN,6.0,20.0,16.0,19.0,24.0,6.0,31.0
Combination Gabapentin; Dexmedetomidine; and Patient Controlled Analgesia Versus Epidural Infusion f,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Neuroaxial Anesthesia and Heparinization-The Sixty Minute Rule,REGIONAL ANESTHESIA AND ACUTE PAIN,17.0,23.0,10.0,19.0,2.0,6.0,31.0
New Anticoagulant Drugs and the Implications on Neuraxial Injections,REGIONAL ANESTHESIA AND ACUTE PAIN,15.0,4.0,18.0,19.0,13.0,6.0,31.0
Anatomic Study to Assist in Ankle Blocks,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
In Vitro Heating Effect on an Epidural Catheter at 3.0 TESLA MRI,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,20.0,6.0,10.0,6.0,31.0
Consent in Regional Anesthesia in a UK Centre - too much (or little) Information?,REGIONAL ANESTHESIA AND ACUTE PAIN,5.0,4.0,18.0,21.0,2.0,25.0,31.0
Efficacy of Topical Anesthesia on Post-thoracotomy Ipsilateral Shoulder Pain,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
The Effect of Perioperative Intravenous Lidocaine and Ketamine on Recovery after Hysterectomy,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Machine Learning Classifiers Predict Patient Need for Pain Service Consult Preoperatively,REGIONAL ANESTHESIA AND ACUTE PAIN,5.0,4.0,18.0,19.0,24.0,6.0,31.0
Respiratory Complications With Epidural Analgesia Compared to PCA Following Gastric Bypass,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Neuraxial Fentanyl May be Associated With Higher Incidence of Puritus Compared to Neuraxial Hydromor,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Modifying a Femoral Nerve Catheter Protocol Can Reduce Hospital Falls After Total Knee Replacement S,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,4.0,18.0,19.0,24.0,6.0,31.0
Ropivacaine 0.1% Versus 0.2% for Continuous Lumbar Plexus Infusion Following Total Hip Arthroplasty,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
A Standardized Multimodal Pain Management Protocol Reduces Post-Operative Pain and Length of Stay in,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Safety Associated with the Removal of Paravertebral Catheters in Trauma Patients Receiving LMWH for ,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
The Sensitivity and Positive Predictive Value of Blood Pressure and Heart Rate Decrease to Confirm C,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,16.0,16.0,22.0,24.0,6.0,31.0
The Role of Fascia Iliaca Block in Pain Control after Hip Arthroplasty,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Characterization of Acute Postoperative Use in an Opiate-Dependent Patient Population,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Fentanyl-Sparing Effect and Safety of Parecoxib for Postoperative Analgesia Following Spinal Surgery,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
The Effect Of Adding Nitroglycerine As An Adjuvant to Lidocaine OnThe Quality Of Intravenos Regional,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,4.0
The Role of Response Pattern to Nerve Stimulation and that of Minimal Evoked Current of Nerve Stimul,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
TAP Block in Addition to Local Infiltration Anesthesia Offers no Increase in Pain Relief in Laparosc,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Distance Measured on CT Scan Predicts Loss of Resistance Depth During Thoracic Epidural Placement,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
A Low Consentration of Levobupivacaine has a Potent Differential Sensory Blocking Property,REGIONAL ANESTHESIA AND ACUTE PAIN,1.0,15.0,13.0,12.0,15.0,27.0,4.0
The Effect of Neuraxial Versus General Anesthesia Techniques on Postoperative Quality of Recovery an,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
A Dose Ranging Effect of Preoperative Transverses Abdominis Plane (TAP) Block on Postoperative Quali,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Perioperative Single Dose Ketorolac to Prevent Acute Postoperative Pain: A Meta-Analysis of Randomiz,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
The Analgesic Effects of Ultrasound-guided Rectus Sheath Block Combined with Transversus Abdominis P,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Aging and Stellate Ganglion Block-Induced Systolic Blood Pressure Changes,REGIONAL ANESTHESIA AND ACUTE PAIN,17.0,4.0,18.0,19.0,24.0,6.0,31.0
Epidural Complications Rates at a Major Anesthesia Teaching Hospital: A 3 Year Retrospective Study,REGIONAL ANESTHESIA AND ACUTE PAIN,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Effects of Patient-controlled Regional Analgesia of Supraclavicular BPB for Shoulder Surgery,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Comparative Effects of Epidural Levobupivacaine and Ropivacaine on the Postoperative Pain and Saliva,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Peripheral Inflammation Results in a Decrease in the Potency of Local Anesthetic-Induced Conduction ,REGIONAL ANESTHESIA AND ACUTE PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Total Joint Arthroplasty as an Ambulatory Surgery: Proof of Concept,REGIONAL ANESTHESIA AND ACUTE PAIN,17.0,20.0,19.0,19.0,2.0,6.0,31.0
Preoperative Thoracic Paravertebral Block Reduces Ileus and Opioid Consumption After Percutaneous Il,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Low-dose Ketamine Associated to Intravenous Morphine Titration in Postanesthesia Care Unit (PACU) Do,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Efficacy of Gabapentin for Post-Herpetic Itch in the Presence or Absence of Pain,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
The Effectiveness and Safety of Parecoxib-Sodium Treatment in Elderly Hip Replacement for Postoperat,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Suprascapular Block versus Suprascapular Block and Corticosteroid in the Treatment of Adhesive Capsu,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Ropivacaine Injected Intraneurally; but not Epineurally; Eelay the Recovery of Acutely Injured Sciat,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,4.0
Existence of Analgesic Cross-Tolerance Between Morphine and Methamphetamine in Mouse Tail-Flick Test,REGIONAL ANESTHESIA AND ACUTE PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Antinociceptive Interaction Between Intrathecally Administered Morphine and Neostigmine in Rats,REGIONAL ANESTHESIA AND ACUTE PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Involvement of Spinal NMDA Receptors in Spontaneous Hyperexcitation of Spinal Dorsal Horn Neurons Fo,REGIONAL ANESTHESIA AND ACUTE PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
ETS-GS; A Novel Synthetic Vitamin E Derivative; Exerts Analgesic Actions in a Rat Model of Freund’s ,REGIONAL ANESTHESIA AND ACUTE PAIN,1.0,15.0,13.0,12.0,24.0,6.0,25.0
Safety of Spinal Local Anesthetics in Diabetic Rats,REGIONAL ANESTHESIA AND ACUTE PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Behavioral Characterization of a newly Developed Model of Postoperative Pain after Laparotomy,REGIONAL ANESTHESIA AND ACUTE PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Involvement of Phospholipase Cβ and TRPV1 in Inflammation-induced Thermal Hyperalgesia,REGIONAL ANESTHESIA AND ACUTE PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Cinnamaldehyde Prolongs Cutaneous Analgesia of Local Anesthetics in Rats,REGIONAL ANESTHESIA AND ACUTE PAIN,1.0,15.0,18.0,12.0,24.0,18.0,25.0
Effects of Local Anesthetics on Human Cells Mitochondrial Metabolism from Patients with Mitochondria,REGIONAL ANESTHESIA AND ACUTE PAIN,10.0,20.0,17.0,16.0,24.0,6.0,31.0
Neuromuscular and Respiratory Effects of Neosaxitoxin,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,18.0,10.0,30.0,2.0,19.0
Proximal Spread of Methylene Blue after Injection at the Popliteal Fossa,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
αCGRP is involved in inflammation- but not incision-induced thermal hyperalgesia,REGIONAL ANESTHESIA AND ACUTE PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Interpreting the Sonoanatomy of the Thoracic Paravertebral Space Using Reconstructed Anatomical Cros,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Neurostimulation Versus Ultrasound Guidance for Continuous Interscalene Block in Major Shoulder Surg,REGIONAL ANESTHESIA AND ACUTE PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Analgesic Efficacy of COX-2 Inhibitors Compared to Glucocorticoids or a Combination of Both Drugs in,REGIONAL ANESTHESIA AND ACUTE PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
